,description,finished,has_items,item_types,maximum_depth,number_of_dependents,sample_id,sample_name,target_depths,targets
10,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27417,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27553]
11,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27403,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W8W20-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27554]
12,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27508,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W5 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27556]
13,"{""a_strains"": [27508, 27506, 27400]}",False,True,['Yeast Plate'],2,4,27555,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W20 | pMOD6-pGRR-W5-yeGFP,"[2, 2, 2]","[27556, 27557, 27558]"
14,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27506,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27557]
15,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27400,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W8W20-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27558]
16,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27503,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20W34-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W19W10-RGR-W20 | pMOD8-pGRR-W8W10-RGR-W34,"[2, 2]","[27561, 27563]"
17,"{""a_strains"": [27503]}",False,True,['Yeast Plate'],2,2,27560,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-RGR-W10 | pMOD6-pGRR-W34-yeGFP,[2],[27561]
18,"{""a_strains"": [27503]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,2,27562,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W10 | pMOD6-pGRR-W34-yeGFP,[2],[27563]
19,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27496,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-NatMX-pGRR-W10W5-RGR-W14 | pMOD6-pGRR-W5-RGR-W34 | pMOD8-pGRR-W14W34-RGR-W5,[2],[27565]
20,"{""a_strains"": [27496, 27493]}",False,False,[],2,3,27564,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W5 | pMOD6-pGRR-W34-yeGFP,"[2, 2]","[27565, 27566]"
